Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
CS412,Web ngữ nghĩa,4,"Đồ án, thực tập",
CS420,Các vấn đề chọn lọc trong Thị giác máy tính,4,"Đồ án, thực tập",
CS431,Các kĩ thuật học sâu và ứng dụng,3,"Đồ án, thực tập",
IT001,Nhập môn Lập trình,4,"Đồ án, thực tập",
MA005,Xác suất thống kê,3,"Đồ án, thực tập",
,Môn cơ sở ngành-Lập trình: tự chọn,4,"Đồ án, thực tập",
,Môn cơ sở ngành-Thuật toán: tự chọn,4,"Đồ án, thực tập",
,Môn chuyên ngành 1,4,"Đồ án, thực tập",
,Môn cơ sở ngành-Lập trình 2: tự chọn,4,"Đồ án, thực tập",
,Môn chuyên ngành 2,4,"Đồ án, thực tập",
,Các môn học tự chọn tự do,8,"Đồ án, thực tập",
,Môn chuyên ngành 3,4,"Đồ án, thực tập",
,Môn chuyên ngành 4,4,"Đồ án, thực tập",
,Các môn học chuyên đề tốt nghiệp,10,"Đồ án, thực tập",
CS505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
CS232,Tính toán đa phương tiện,4,Môn cơ sở ngành,
CS530,Đồ án chuyên ngành,3,Môn cơ sở ngành,
CS505,Khóa luận tốt nghiệp,10,Môn cơ sở ngành,
